route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5240_119660,7778006,120,Dublin - Edenderry,,3,,,
5240_119661,7778006,125,UCD - Newbridge,,3,,,
5240_119662,7778006,126,Dublin - Rathangan,,3,,,
5240_119663,7778006,130,Dublin - Athy,,3,,,
5240_119664,7778006,120A,Dublin - Edenderry,,3,,,
5240_119665,7778006,120B,Dublin - Newbridge,,3,,,
5240_119666,7778006,120C,Enfield - Tullamore,,3,,,
5240_119667,7778006,120D,Enfield - Tullamore,,3,,,
5240_119668,7778006,120E,Dublin - Edenderry,,3,,,
5240_119669,7778006,120F,Connolly Station - Newbridge Centre,,3,,,
5240_119670,7778006,120X,Dublin - Edenderry,,3,,,
5240_119671,7778006,126A,Dublin - Kildare,,3,,,
5240_119672,7778006,126B,Dublin - Rathangan,,3,,,
5240_119673,7778006,126D,Dublin - Kildare,,3,,,
5240_119674,7778006,126E,Dublin - Kildare,,3,,,
5240_119675,7778006,126T,Dublin - Kildare,,3,,,
5240_119676,7778006,126U,Dublin UCD - Kildare,,3,,,
5240_119677,7778006,126N,Dublin - Newbridge,,3,,,
5240_119678,7778006,126X,Dublin - Rathangan,,3,,,
5240_119679,7778006,130A,Dublin - Athy,,3,,,
5242_118188,7778014,Red,The Point - Tallaght,,0,,,
5242_119680,7778014,Green,Parnell - Brides Glen,,0,,,
5398_125573,7778021,59,Dun Laoghaire - Killiney Hill Park,,3,,,
5398_125574,7778021,73,Kilnamanagh Road - Griffith Avenue East,,3,,,
5398_125575,7778021,102,Dublin Airport - Sutton DART,,3,,,
5398_125576,7778021,104,Clontarf Station - DCU (The Helix),,3,,,
5398_125577,7778021,111,Brides Glen - Kilbogget Pk,,3,,,
5398_125578,7778021,114,Ticknock - Blackrock,,3,,,
5398_125579,7778021,161,Rockbrook - Dundrum,,3,,,
5398_125580,7778021,197,"Airside Ind. Estate, stop 7210 - Ashbourne Retail Pk, stop 101001",,3,,,
5398_125581,7778021,220,DCU (The Helix) - Lady's Well Road,,3,,,
5398_125582,7778021,236,Blanchardstown - IBM Campus,,3,,,
5398_125583,7778021,238,Tyrrelstown - Mulhuddart,,3,,,
5398_125584,7778021,270,Dunboyne - Blanchardstown,,3,,,
5398_125585,7778021,33A,Dublin Airport - Balbriggan,,3,,,
5398_125586,7778021,33B,Swords - Portrane,,3,,,
5398_125587,7778021,33T,Skerries - Donabate,,3,,,
5398_125588,7778021,45A,Kilmacanogue - Dun Laoghaire,,3,,,
5398_125589,7778021,45B,Kilmacanogue - Dun Laoghaire,,3,,,
5398_125590,7778021,L1,Newcastle Hospital - Bray Station,,3,,,
5398_125591,7778021,L2,"Sea Road, Newcastle - Bray Station",,3,,,
5398_125592,7778021,L3,Glenbrook Park - The Nurseries,,3,,,
5398_125593,7778021,N2,Clontarf Station - Heuston Train Stn,,3,,,
5398_125594,7778021,N6,Finglas Village - Naomh Barróg GAA,,3,,,
5398_125595,7778021,S4,Liffey Valley - UCD,,3,,,
5398_125596,7778021,S6,The Square - Blackrock Station,,3,,,
5398_125597,7778021,S8,Kingswood Avenue - Dun Laoghaire Stn,,3,,,
5398_125598,7778021,W2,The Square - Liffey Valley SC,,3,,,
5398_125599,7778021,W4,The Square - Blanchardstown SC,,3,,,
5398_125600,7778021,W6,Community College - The Square,,3,,,
5398_125601,7778021,L51,Liffey Valley SC - Adamstown Station,,3,,,
5398_125602,7778021,L52,Blanchardstown SC - Adamstown Station,,3,,,
5398_125603,7778021,L55,Hollyville Lawn - Glenaulin,,3,,,
5398_125604,7778021,102A,Swords - Sutton,,3,,,
5398_125605,7778021,102C,Balgriffin - Sutton,,3,,,
5398_125606,7778021,102P,Swords - Portmarnock,,3,,,
5398_125607,7778021,102T,Swords - Sutton,,3,,,
5398_125608,7778021,185T,Enniskerry - Bray,,3,,,
5398_125609,7778021,220A,DCU (The Helix) - Lady's Well Road,,3,,,
5398_125610,7778021,220T,Collins Avenue West - Finglas Garda Stn,,3,,,
5398_125611,7778021,236A,Blanchardstown - IBM Campus,,3,,,
5398_125612,7778021,236T,Scoil Oilibheir - Tyrrelstown,,3,,,
5398_125613,7778021,270T,Castaheany Estate - Castleknock Community College,,3,,,
5398_125614,7778021,L15,Bray Station - Enniskerry,,3,,,
5398_125615,7778021,L26,Blackrock Station - Kilternan Village,,3,,,
5398_125616,7778021,L27,Dun Laoghaire Stn - Leopardstown Valley,,3,,,
5501_126940,7778008,W1,Clock Tower - Ballybeg,,3,,,
5501_126941,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
5501_126942,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
5501_126943,7778008,W4,Peter Street - Brownes Road,,3,,,
5501_126944,7778008,W5,Hospital - Oakwood,,3,,,
5502_126904,7778020,310,Sarsfield Street - National Technology Park,,3,,,
5512_123775,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
5512_123776,7778019,13,Grange Castle - Harristown,,3,,,
5512_123777,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
5512_123778,7778019,15,Ballycullen Road - Clongriffin,,3,,,
5512_123779,7778019,16,Ballinteer - Dublin Airport,,3,,,
5512_123780,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
5512_123781,7778019,19,Parnell Square West - Dublin Airport,,3,,,
5512_123782,7778019,23,Merrion Square - Charlestown SC,,3,,,
5512_123783,7778019,24,Merrion Square - Dublin Airport,,3,,,
5512_123784,7778019,27,Jobstown - Clare Hall,,3,,,
5512_123785,7778019,33,Balbriggan - Lower Abbey St,,3,,,
5512_123786,7778019,33D,Portrane - St Stephens Green,,3,,,
5512_123787,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
5512_123788,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
5512_123789,7778019,38,Damastown - Burlington Road,,3,,,
5512_123790,7778019,39,Ongar - Burlington Rd,,3,,,
5512_123791,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
5512_123792,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
5512_123793,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
5512_123794,7778019,43,Talbot Street - Swords Business Park,,3,,,
5512_123795,7778019,44,Enniskerry - DCU,,3,,,
5512_123796,7778019,47,Poolbeg Street - Belarmine,,3,,,
5512_123797,7778019,52,Intel - Ringsend,,3,,,
5512_123798,7778019,53,Dublin Ferryport - Talbot St,,3,,,
5512_123799,7778019,56A,Tallaght - Ringsend Rd,,3,,,
5512_123800,7778019,60,Forbes Street - Tallaght,,3,,,
5512_123801,7778019,65,Poolbeg Street - Blessington/Ballymore,,3,,,
5512_123802,7778019,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
5512_123803,7778019,69,Rathcoole - Hawkins St,,3,,,
5512_123804,7778019,70,Dunboyne - Burlington Rd,,3,,,
5512_123805,7778019,74,Dundrum Luas - Eden Quay,,3,,,
5512_123806,7778019,77A,Citywest - Ringsend,,3,,,
5512_123807,7778019,80,Liffey Valley SC - Palmerston Park,,3,,,
5512_123808,7778019,82,Irishtown - Kiltipper,,3,,,
5512_123809,7778019,99,Phoenix Park - Phoenix Park,,3,,,
5512_123810,7778019,116,Whitechurch - Parnell Square,,3,,,
5512_123811,7778019,118,Kilternan - Eden Quay,,3,,,
5512_123812,7778019,120,Ashtown Station - Parnell St,,3,,,
5512_123813,7778019,122,Drimnagh - Ashington,,3,,,
5512_123814,7778019,130,Talbot Street - Castle Avenue,,3,,,
5512_123815,7778019,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
5512_123816,7778019,142,Portmarnock - UCD (Belfield),,3,,,
5512_123817,7778019,44D,Dundrum - OCS,,3,,,
5512_123818,7778019,150,Rossmore - Hawkins Street,,3,,,
5512_123819,7778019,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),,3,,,
5512_123820,7778019,P29,Adamstown Stn - Ringsend,,3,,,
5512_123821,7778019,X1,Kilcoole - Hawkins Street,,3,,,
5512_123822,7778019,X2,Newcastle - Hawkins Street,,3,,,
5512_123823,7778019,X25,Maynooth - Easton Rd - UCD,,3,,,
5512_123824,7778019,X26,Maynooth - Louisa Bridge - Leeson Street Lower,,3,,,
5512_123825,7778019,X27,Salesian College - Aghards Rd - UCD,,3,,,
5512_123826,7778019,X28,Salesian College - Celbridge Main St - UCD,,3,,,
5512_123827,7778019,X30,Dodsboro - UCD,,3,,,
5512_123828,7778019,X31,River Forest - UCD Belfield,,3,,,
5512_123829,7778019,X32,Kildare Innovation Campus - UCD Belfield,,3,,,
5512_123830,7778019,C1,Adamstown Stn - Sandymount,,3,,,
5512_123831,7778019,C2,Adamstown Stn - Sandymount,,3,,,
5512_123832,7778019,C3,Maynooth - Ringsend,,3,,,
5512_123833,7778019,C4,Maynooth - Ringsend,,3,,,
5512_123834,7778019,C5,Maynooth - Ringsend Night Service,,3,,,
5512_123835,7778019,C6,Maynooth - Celbridge - Ringsend Night Service,,3,,,
5512_123836,7778019,E1,Ballywaltrim - Northwood,,3,,,
5512_123837,7778019,E2,Dun Laoghaire - Harristown,,3,,,
5512_123838,7778019,F1,The Square Tallaght - IKEA,,3,,,
5512_123839,7778019,F2,Charlestown SC - Rossmore,,3,,,
5512_123840,7778019,F3,Charlestown SC - Limekiln Avenue,,3,,,
5512_123841,7778019,G1,Red Cow LUAS - Spencer Dock,,3,,,
5512_123842,7778019,G2,Liffey Valley SC - Spencer Dock,,3,,,
5512_123843,7778019,H1,Baldoyle - Lower Abbey Street,,3,,,
5512_123844,7778019,H2,Malahide - Lower Abbey Street,,3,,,
5512_123845,7778019,H3,Howth Summit - Lower Abbey Street,,3,,,
